"Izquierda","Derecha","Actor","Mismo_Padre","Caracteres_Izquierda","Caracteres_Derecha","Fuente_Izquierda","Fuente_Derecha","Motivos_Izquierda","Motivos_Derecha","Indicadores","Estado","Estado_Lote3"
"RPM-2012-04-17:4787:2","RPM-2012-04-17:4788:1","Rodrigo Vergara Montes","False","1423","2132","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","FINAL_SIN_PUNTUACION","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2012-05-17:4848:1","RPM-2012-05-17:4849:1","Rodrigo Vergara Montes","False","3941","332","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2012-06-14:4898:1","RPM-2012-06-14:4899:1","Rodrigo Vergara Montes","False","2802","398","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2012-07-12:4972:1","RPM-2012-07-12:4973:1","Rodrigo Vergara Montes","False","2475","1958","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2012-08-16:5038:1","RPM-2012-08-16:5039:1","Rodrigo Vergara Montes","False","3040","1818","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2012-10-18:5158:1","RPM-2012-10-18:5159:1","Rodrigo Vergara Montes","False","2187","2009","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2012-11-13:5220:1","RPM-2012-11-13:5221:1","Rodrigo Vergara Montes","False","3424","2255","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2012-12-13:5252:3","RPM-2012-12-13:5252:4","Manuel Marfán Lewis","True","162","223","CONTEXTO_REVISADO","SUJETO_ROL_NOMBRE","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","RESERVA_FUNCIONES_DISTINTAS"
"RPM-2012-12-13:5266:1","RPM-2012-12-13:5267:1","Rodrigo Vergara Montes","False","3661","1970","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2013-01-17:5329:1","RPM-2013-01-17:5330:1","Rodrigo Vergara Montes","False","2859","2197","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2013-02-14:5397:1","RPM-2013-02-14:5398:1","Rodrigo Vergara Montes","False","2722","2548","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
