Fecha,Tasa_Antes,Tasa_Despues,Delta_PB,IDs_Evidencia,Formulas_Contrastadas
2011-08-18,5.25,5.25,0,6114;6115,3
2011-09-15,5.25,5.25,0,6184;6185,3
2011-10-13,5.25,5.25,0,6269;6270,3
2011-11-15,5.25,5.25,0,6359;6360,3
2011-12-13,5.25,5.25,0,6430;6431,3
2012-01-12,5.25,5.0,-25,6500;6501,3
2012-02-14,5.0,5.0,0,6590;6591,3
2012-03-15,5.0,5.0,0,6687;6688,3
2012-04-17,5.0,5.0,0,6763;6769,3
2012-05-17,5.0,5.0,0,6839;6840,3
2012-06-14,5.0,5.0,0,6897;6898,3
2012-07-12,5.0,5.0,0,6986;6987,3
2012-08-16,5.0,5.0,0,7058;7059,3
2012-09-13,5.0,5.0,0,7123;7124,3
2012-10-18,5.0,5.0,0,7205;7206,3
2012-11-13,5.0,5.0,0,7281;7282,3
2012-12-13,5.0,5.0,0,7339;7340,3
2013-01-17,5.0,5.0,0,7411;7412,3
2013-02-14,5.0,5.0,0,7495;7496,3
2013-03-14,5.0,5.0,0,7560;7561,3
2013-04-11,5.0,5.0,0,7631;7632,3
2013-05-16,5.0,5.0,0,7691;7692,3
2013-06-13,5.0,5.0,0,7768;7769,3
2013-07-11,5.0,5.0,0,7844;7845,3
2013-08-13,5.0,5.0,0,7911;7912,3
2013-09-12,5.0,5.0,0,7983;7984,3
2013-10-17,5.0,4.75,-25,8034;8035,3
2013-11-19,4.75,4.5,-25,8090;8091,3
2013-12-12,4.5,4.5,0,8154;8155,3
2014-01-16,4.5,4.5,0,8207;8208,3
2014-02-18,4.5,4.25,-25,8280;8281,3
2014-03-13,4.25,4.0,-25,8353,2
2014-04-17,4.0,4.0,0,8438;8439,3
2014-05-15,4.0,4.0,0,8503;8504,3
2014-06-12,4.0,4.0,0,8579;8581;8582,4
2014-07-15,4.0,3.75,-25,8637;8638,3
2014-08-14,3.75,3.5,-25,8696;8697,3
2014-09-11,3.5,3.25,-25,8757;8758,3
2014-10-16,3.25,3.0,-25,8822;8823,3
2014-11-18,3.0,3.0,0,8865;8866,3
2014-12-11,3.0,3.0,0,8902;8903,3
2015-01-15,3.0,3.0,0,8957;8958,3
2015-02-12,3.0,3.0,0,9011;9012,3
2015-03-19,3.0,3.0,0,9069;9070,3
2015-04-16,3.0,3.0,0,9145;9146,3
2015-05-14,3.0,3.0,0,9212;9213;9217,3
2015-06-11,3.0,3.0,0,9289;9290,3
2015-07-14,3.0,3.0,0,9352;9353,3
2015-08-13,3.0,3.0,0,9421;9422,3
2015-09-15,3.0,3.0,0,9503;9505;9506,4
2015-10-15,3.0,3.25,25,9584;9585,3
2015-11-12,3.25,3.25,0,9642;9643,3
2015-12-17,3.25,3.5,25,9723;9724,3
