"ID_Intervencion","ID_Padre","Fecha","Actor_Izquierda","Actor_Derecha","Estado_Lectura","Revision_ID","Motivo_Original","Reservas","Final_Izquierda","Inicio_Derecha"
"RPM-2009-09-08:2697:1","2697","2009-09-08","Claudio Soto Gamboa","Sebastián Claro Edwards","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","ue son los sectores resto. De esta manera, las variaciones anuales de los salarios reales siguen creciendo y, medidos de acuerdo con los patrones de producción pasada, están en niveles comparables con los observados entre el 2004 y el 2007,","Al respecto, el Consejero señor Sebastián Claro comenta que la evolución de los salarios reales se relaciona claramente con la caída muy fuerte de la inflación y con los procesos de indexación de los salarios nominales, los que han seguido "
"RPM-2009-09-08:2699:2","2699","2009-09-08","Manuel Marfán Lewis","Andrés Velasco Brañes","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero señor Marfán señala que, de todas maneras, los salarios tienden a converger a la evolución de la productividad en el largo plazo,","a lo que el señor Ministro agrega que el problema es si el largo plazo son doce meses o doce años, ya que el salario real quedó sorprendentemente alto y la tasa de desempleo quedó sorprendentemente alta también por un periodo muy largo, por"
"RPM-2009-09-08:2705:3","2705","2009-09-08","Claudio Soto Gamboa","José De Gregorio Rebeco","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","gregados más líquidos. Respecto de las expectativas de mercado, la encuesta será dada a conocer al día siguiente. Respecto de las expectativas de inflación, el señor Soto indica que se observa un significativo aumento en las compensaciones,","lo cual, a juicio del señor Presidente, es muy curioso de analizar, ya que se venía de un periodo anterior al año 2007, en el que todas las compensaciones se movían en torno a 3%, y hoy día la volatilidad ha persistido por dos años, lo que "
"RPM-2009-10-13:2740:3","2740","2009-10-13","Claudio Soto Gamboa","Andrés Velasco Brañes","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El señor Soto responde que hay antecedentes de salidas al exterior de las AFP para invertir, las que se están produciendo desde hace algunas semanas y que podrían coadyuvar a explicar lo que está sucediendo,","acotando el señor Velasco que, entonces, correspondería estimar que luego que las AFP liquidaran sus inversiones en el exterior, se ha producido un progresivo retorno a esta clase de inversiones, pero muy por debajo de los límites máximos d"
"RPM-2009-11-12:2765:4","2765","2009-11-12","José De Gregorio Rebeco","Jorge Desormeaux Jiménez","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","Respecto del comentario del señor Claro, el señor Presidente afirma que el aumento de la tasa de ahorro es un síntoma de desapalancamiento,","y el señor Vicepresidente complementa que la caída de riqueza que permanece es la de la vivienda, porque el mercado accionario ha recuperado alguna parte de lo perdido."
"RPM-2009-12-15:2803:1","2803","2009-12-15","Consejo del Banco Central de Chile","José De Gregorio Rebeco","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","trategia y Comunicación de Política Monetaria, don Enrique Orellana Cifuentes; Asesor del Ministerio de Hacienda, don Igal Magendzo Weinberger; Economista Señor, doña Erika Arraño González; y la Secretario General, doña Marlys Pabst Cortés,","El Presidente, señor José De Gregorio, junto con dar inicio a la Reunión de Política Monetaria N° 147, señala que, de conformidad con el Reglamento que rige estas Sesiones, fija la Reunión de Política Monetaria correspondiente al mes de jun"
"RPM-2009-12-15:2805:2","2805","2009-12-15","Manuel Marfán Lewis","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero señor Manuel Marfán consulta cuál es la diferencia entre la tasa de política monetaria (TPM) objetivo y la tasa efectiva,","a lo cual el señor Sergio Lehmann explica que esta última corresponde a la tasa overnight interbancaria. Agrega que ella ha estado en un nivel intermedio del rango definido para la tasa objetivo de la Reserva Federal (FED), aclarando que es"
"RPM-2009-12-15:2805:4","2805","2009-12-15","Manuel Marfán Lewis","Pablo García Silva","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El señor Marfán manifiesta que no tiene sentido que el Banco Central Europeo (BCE) establezca que su tasa de interés es de 1% y que la baje cuando resulta redundante,","a lo cual el Gerente de División Estudios, señor Pablo García, menciona que el BCE ha mantenido esta disociación entre tener una tasa objetivo de 1% y validar tasas de mercado bastante más bajas que eso."
"RPM-2009-12-15:2807:1","2807","2009-12-15","Enrique Marshall Rivera","Beltrán de Ramón Acevedo","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero señor Enrique Marshall comenta que lo mismo le ocurre al Banco Central de Chile, ya que la tasa está en 0,5%, pero en 0,35% efectivamente,","a lo cual el señor de Ramón añade que ello se debe a que el Banco también ha sido expansivo."
"RPM-2009-12-15:2808:1","2808","2009-12-15","Manuel Marfán Lewis","Beltrán de Ramón Acevedo","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero señor Manuel Marfán solicita que le confirmen si Grecia y Portugal tenían spread CDS igual a cero hasta fines del año 2008,","a lo cual el señor Beltrán de Ramón responde que era cercano a 10 puntos base sobre el bono alemán, que es el benchmark."
"RPM-2009-12-15:2810:1","2810","2009-12-15","Enrique Marshall Rivera","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero señor Enrique Marshall comenta que no le parece tan claro que el alza de los alimentos se haya incorporado al índice GSCI granos y cereales,","a lo cual el señor Lehmann muestra que, en términos de tendencias, sí se aprecia un aumento en los precios de los alimentos, y que en el último mes la calda en el precio del maíz tendió a compensarse con el aumento en el precio del arroz, y"
"RPM-2010-01-14:2852:1","2852","2010-01-14","Rodrigo Vergara Montes","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero señor Rodrigo Vergara consulta por qué los commodities agrícolas se han quedado atrás en este recuento,","a lo cual el señor Sergio Lehmann responde que el componente financiero de los bienes agrícolas es mucho menos importante desde el punto de vista de las transacciones en el mercado financiero, añadiendo que, en todo caso, todavía está por v"
"RPM-2010-01-14:2863:1","2863","2010-01-14","Manuel Marfán Lewis","Claudio Soto Gamboa","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El señor Vicepresidente consulta si esa reconstrucción permitió ver si se le habían quitado puntos al IPC,","respondiendo el señor Soto que no, porque fue un suavizamiento."
"RPM-2010-01-14:2885:1","2885","2010-01-14","José De Gregorio Rebeco","Manuel Marfán Lewis","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El señor Presidente concede la palabra al Vicepresidente, señor Manuel Marfán,","quien agradece el análisis del staff y declara hacer suyo el listado de antecedentes del punto 2 de la Minuta de Opciones, a la que añade los siguientes comentarios."
"RPM-2010-02-11:2896:1","2896","2010-02-11","Rodrigo Vergara Montes","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero señor Rodrigo Vergara consulta si el ser más pesimista en esta materia es un patrón seguido por el Banco,","a lo cual el señor Lehmann responde que no lo es,"
"RPM-2010-02-11:2896:2","2896","2010-02-11","Sergio Lehmann Beresi","Pablo García Silva","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","a lo cual el señor Lehmann responde que no lo es,","en tanto que el señor Pablo García señala que la estimación se vincula con el diagnóstico de precios a largo plazo que se ha mantenido después de haberse incrementado en torno a US$2 la libra en términos reales. Añade que la percepción es q"
"RPM-2010-02-11:2897:1","2897","2010-02-11","Sebastián Claro Edwards","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero señor Sebastián Claro consulta si son semejantes las importaciones de las diversas economías, como también si es efectivo que estas se concentran en Asia,","a lo cual el señor Lehmann responde que en las economías asiáticas se han visto aumentos relevantes de importaciones, no así en algunas economías de Europa y Estados Unidos. Refiriéndose a los mercados hipotecarios, el Gerente de Análisis I"
"RPM-2010-02-11:2910:1","2910","2010-02-11","José De Gregorio Rebeco","Claudio Soto Gamboa","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Presidente, señor José De Gregorio, consulta si la regla del balance estructural era de 0,5%,","a lo cual el señor Claudio Soto responde que era de 0%,"
"RPM-2010-02-11:2910:2","2910","2010-02-11","Claudio Soto Gamboa","Pablo García Silva","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","a lo cual el señor Claudio Soto responde que era de 0%,","en tanto que el señor Pablo García agrega que a comienzos del año 2009 el anuncio fue que el objetivo para ese ejercicio fuera cero y que después, en el mes de octubre, al discutirse la Ley de Presupuesto, la proyección que se tenía era de "
"RPM-2010-02-11:2911:1","2911","2010-02-11","Rodrigo Vergara Montes","Claudio Soto Gamboa","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero señor Rodrigo Vergara pregunta si este es el primer año en que se presenta una diferencia tan significativa,","respondiendo el señor Soto que es efectivo."
"RPM-2010-02-11:2915:1","2915","2010-02-11","Pablo García Silva","Sebastián Claro Edwards","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","ión doce meses, de todas formas, dada la dinámica habitual de la estacionalidad, podría haber sido incluso más baja y no lo fue, ya que se registró un aumento en la cifra mensual de variación de los salarios en términos desestacionalizados,","El Consejero señor Sebastián Claro recuerda que ese era el dato que en la RPM pasada se estaba esperando para diciembre del año 2009, con el objeto de apreciar si la tasa de desempleo original, no desestacionalizada, caía significativamente"
"RPM-2010-02-11:2916:1","2916","2010-02-11","José De Gregorio Rebeco","Pablo García Silva","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El señor Presidente consulta si ello significa que los precios, en promedio, eran muy parecidos en diciembre del año 2008 con el promedio de todo el año 2009,","a lo cual el señor Pablo García responde que corresponde al IPC en su conjunto."
"RPM-2010-02-11:2918:1","2918","2010-02-11","José De Gregorio Rebeco","Claudio Soto Gamboa","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El señor Presidente recuerda que la proyección era de 0,22,","confirmando el señor Soto que ello sí era conocido y que la estimación de la incidencia no se hizo con tanta precisión, por efectos del cambio de base a nivel de clase de productos en lugar de hacerlo por productos."
