"ID_Anterior","ID_Nuevo","ID_Padre","Parte","Inicio_En_Fila_Anterior","Fin_En_Fila_Anterior","SHA256_Texto"
"RPM-2013-03-14:5414:1","RPM-2013-03-14:5414:1","5414","INTEGRA","0","874","c27baebb6ce5e9a7ae83f42ad8a3a7f0a4f9a53ef51c5b41279a6b85dd4b812e"
"RPM-2013-03-14:5415:1","RPM-2013-03-14:5415:1","5415","INTEGRA","0","470","2e10e81bcd66071d00e91472b3e16e9daccf47c82a88caec25ee2b4b5b66fbe7"
"RPM-2013-03-14:5416:1","RPM-2013-03-14:5416:1","5416","INTEGRA","0","891","91cf379c9a699e0877382e66dfb1f851a2d17f764a2e2c6dacad6f8c344d3b0c"
"RPM-2013-03-14:5417:1","RPM-2013-03-14:5417:1","5417","INTEGRA","0","349","6d072447e0b549a2d18f2593346c9aec4166378a89e71cc2ac0267213a68ea74"
"RPM-2013-03-14:5417:2","RPM-2013-03-14:5417:2","5417","INTEGRA","0","237","a0e9aa1db106217a8ff6a7ad01ac80e31b48b8fb5f9a8d22a2e7a09b39fdd3cc"
"RPM-2013-03-14:5418:1","RPM-2013-03-14:5418:1","5418","INTEGRA","0","3194","ff99bf4528f3ee9882861cf7d503eb7896bb1b0f3f71b4b7134f243a2f7d9d5e"
"RPM-2013-03-14:5418:2","RPM-2013-03-14:5418:2","5418","INTEGRA","0","159","d6aa938e90a0f3e634aa27b42e79e9996e84e584628f982f3090d76e5e85d92e"
"RPM-2013-03-14:5418:3","RPM-2013-03-14:5418:3","5418","INTEGRA","0","5312","40a8d9a1c679c8567fc7152a719877df12931e051090d389bbceaddd413e3c62"
"RPM-2013-03-14:5419:1","RPM-2013-03-14:5419:1","5419","INTEGRA","0","361","0ace53b638b57bf5caac1861762d76cf24d4c447b57e2404c612f38f40e19377"
"RPM-2013-03-14:5420:1","RPM-2013-03-14:5420:1","5420","INTEGRA","0","514","dda6e816dbf492035169c3e9dd8a4317977372b284da438c2f2b000b0b80da5c"
"RPM-2013-03-14:5421:1","RPM-2013-03-14:5421:1","5421","INTEGRA","0","251","ce41ed81d909624d0fcdb0579b30bb45f42ffd14cc76c175e260cbd5c36bc9b9"
"RPM-2013-03-14:5422:1","RPM-2013-03-14:5422:1","5422","INTEGRA","0","1893","df260370fb9f3f30ee9d34a301c5773741186b8f7d586176bebde65c4f823348"
