Ciclos,ID_Padre,SHA256_Texto_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,ID_Turno,Relacion_Turno,Alertas_Actuales,Texto_Actual
1,4955,7c077d26995fc6d1feb941523b1bcb79a9319e90cd911cab29d6023a7f79192c,2012-07-12,6763;6764,Enrique Marshall Rivera;Consejo del Banco Central de Chile,6771,Rodrigo Vergara Montes,SUJETO_ROL_NOMBRE,RPM-2012-07-12:T59,INICIO_EXPLICITO,,"Al no formularse otros comentarios, el Presidente señor Rodrigo Vergara suspende la presente Reunión y deja constancia que ella se reiniciará a las 15:30 horas para tratar las opciones de política monetaria."
1,4955,7c077d26995fc6d1feb941523b1bcb79a9319e90cd911cab29d6023a7f79192c,2012-07-12,6763;6764,Enrique Marshall Rivera;Consejo del Banco Central de Chile,6772,Consejo del Banco Central de Chile,ACTA/META,RPM-2012-07-12:T60,INSTITUCIONAL,,"Siendo las 15:30 horas, se reanuda la Reunión de Política Monetaria N° 188, incorporándose a esta Sesión el Ministro de Hacienda señor Felipe Larraín."
1,5022,f9165e4dc6a0d27386017db111629ee5750cac23347adca0dde739be1daa06c3,2012-08-16,6832;6833,Kevin Cowan Logan;Consejo del Banco Central de Chile,6840,Kevin Cowan Logan,SUJETO_NOMBRE,RPM-2012-08-16:T48,INICIO_EXPLICITO,,"El señor Kevin Cowan informa que la Gerencia de División a su cargo y la Gerencia de División Estadísticas se encuentran efectuando un estudio acerca de los patrones de financiamiento del exterior de las empresas. Anticipa que, en general, se percibe que la mayor parte de las empresas mantiene acceso al financiamiento externo, pero con alguna alza de costos y que, en todo caso, el trabajo mencionado será presentado al Consejo tan pronto se encuentre concluido."
1,5022,f9165e4dc6a0d27386017db111629ee5750cac23347adca0dde739be1daa06c3,2012-08-16,6832;6833,Kevin Cowan Logan;Consejo del Banco Central de Chile,6841,Rodrigo Vergara Montes,SUJETO_ROL_NOMBRE,RPM-2012-08-16:T49,INICIO_EXPLICITO,,"Al no formularse otros comentarios, el Presidente señor Rodrigo Vergara suspende la presente Reunión y deja constancia que ella se reiniciará a las 15:30 horas para tratar las opciones de política monetaria."
1,5022,f9165e4dc6a0d27386017db111629ee5750cac23347adca0dde739be1daa06c3,2012-08-16,6832;6833,Kevin Cowan Logan;Consejo del Banco Central de Chile,6842,Consejo del Banco Central de Chile,ACTA/META,RPM-2012-08-16:T50,INSTITUCIONAL,,"Siendo las 15:30 horas, se reanuda la Reunión de Política Monetaria N° 189, incorporándose a esta Sesión el Ministro de Hacienda señor Felipe Larraín."
1,5076,565c5fa45a56c21b69e504a1c1b82e5e581d8e9dcba4cda9acf1fd978bba1de0,2012-09-13,6890;6891,Luis Óscar Herrera Barriga;Consejo del Banco Central de Chile,6899,Luis Óscar Herrera Barriga,SUJETO_ROL_NOMBRE,RPM-2012-09-13:T38,INICIO_EXPLICITO,,"El Gerente de División Estudios señor Luis Óscar Herrera señala que los datos disponibles dan cuenta de una desaceleración de la actividad. No obstante, agrega que tales antecedentes se observan con un grado de cautela, por cuanto algunos indicadores en el margen llevan a considerar que se mantendrá el crecimiento a tasas elevadas e incluso proyectan una reaceleración en los próximos trimestres, especialmente en un contexto en que han mejorado las condiciones financieras externas, lo que facilitará la disponibilidad de financiamiento externo y contribuirá a mejorar el optimismo, con la consiguiente incidencia en los indicadores internos. Por lo expuesto, comparte lo indicado precedentemente en orden a que ello constituye un factor de preocupación para el Banco. En lo concerniente al comentario metodológico sobre la materialización de las presiones inflacionarias, manifiesta que, en definitiva, son presiones sobre los instrumentos de política y que se materializan en acciones que se ejercen con tales instrumentos y en efectos colaterales sobre el nivel general de las tasas de interés y de otras variables relativas al crédito. Por último, y en relación con los temas que han ido adquiriendo más relevancia en los análisis internos y de riesgos, esto es, la cuenta corriente y la evolución del tipo de cambio real, coincide en que ellos generan evidentemente una complicación para la política monetaria, al no ser capaz de mantener simultáneamente una suerte de equilibrio interno y un equilibrio externo por medio de un solo instrumento. Deja constancia que un esquema de metas de inflación tiene mayor énfasis en el equilibrio interno al conservar las brechas internas cerradas y, de esa forma, mantener el control de la inflación, pero en cuanto al nivel de la cuenta corriente y el tipo de cambio real, existen una serie de factores externos que van a influir sobre ello y que de materializarse los eventuales desajustes que se generarían, no podrán ser resueltos por medio de medidas de política monetaria."
1,5076,565c5fa45a56c21b69e504a1c1b82e5e581d8e9dcba4cda9acf1fd978bba1de0,2012-09-13,6890;6891,Luis Óscar Herrera Barriga;Consejo del Banco Central de Chile,6900,Rodrigo Vergara Montes,SUJETO_ROL_NOMBRE,RPM-2012-09-13:T39,INICIO_EXPLICITO,,"Al no formularse otros comentarios, el Presidente señor Rodrigo Vergara suspende la presente Reunión y deja constancia que ella se reiniciará a las 15:30 horas para tratar las opciones de política monetaria."
1,5076,565c5fa45a56c21b69e504a1c1b82e5e581d8e9dcba4cda9acf1fd978bba1de0,2012-09-13,6890;6891,Luis Óscar Herrera Barriga;Consejo del Banco Central de Chile,6901,Consejo del Banco Central de Chile,ACTA/META,RPM-2012-09-13:T40,INSTITUCIONAL,,"Siendo las 15:30 horas, se reanuda la Reunión de Política Monetaria N° 190, incorporándose a esta Sesión el Subsecretario de Hacienda señor Julio Dittborn."
1,5141,1c277b5ca4c4acf60478d7bf39503621d96b3e7739ed69fa061086effc6f08be,2012-10-18,6963;6964,Enrique Marshall Rivera;Consejo del Banco Central de Chile,6973,Enrique Marshall Rivera,SUJETO_ROL_NOMBRE,RPM-2012-10-18:T49,INICIO_EXPLICITO,,"El Consejero señor Enrique Marshall destaca que los antecedentes expuestos consignan que las empresas bancarias informan la existencia de mayores restricciones crediticias para el sector inmobiliario, lo que refleja precisamente una señal que el Banco entregó en este sentido, por lo que estima que ello resulta auspicioso en el contexto de la política que implementa el Banco. Además, plantea la conveniencia de monitorear el comportamiento de las tasas de colocación de los créditos de consumo correspondientes al segmento de hasta 200 Unidades de Fomento, que registran un alza cercana a los 15 puntos porcentuales en el curso de los últimos meses, la que es similar a las observadas en períodos de crisis, como ocurrió a fines de los años noventa. Hace presente que este significativo incremento de las tasas de interés de tales créditos podría obedecer a un tema de medición o también a un credit crunch relevante, esto es, a una contracción del crédito derivada de movimientos de la curva de oferta y también de la demanda, que lleva a los bancos a otorgar créditos a este segmento específico a altas tasas de interés, porque perciben un riesgo muy elevado en dicho sector. En su opinión, ello constituiría un cambio significativo, por lo que solicita que se precise la dimensión en que ambas hipótesis explicarían la importante alza que registran estas tasas de interés."
1,5141,1c277b5ca4c4acf60478d7bf39503621d96b3e7739ed69fa061086effc6f08be,2012-10-18,6963;6964,Enrique Marshall Rivera;Consejo del Banco Central de Chile,6974,Rodrigo Vergara Montes,SUJETO_ROL_NOMBRE,RPM-2012-10-18:T50,INICIO_EXPLICITO,,"Al no formularse otros comentarios, el Presidente señor Rodrigo Vergara suspende la presente Reunión y deja constancia que ella se reiniciará a las 15:30 horas para analizar las opciones de política monetaria."
