ID_Turno,Fecha,Anio,Actor_Final,Rol_Final,Grupo_Actor,Naturaleza_Turno,Palabras,Lex_Score,HD_Score_Modelo,HD_Clase_Modelo,Margen,HD_Confianza_Modelo,En_Universo_Entrenado,En_Muestra_500,HD_Score_Oro,HD_Clase_Oro
RPM-2009-11-12:T56,2009-11-12,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,32,0.0,-0.0413,NEUTRAL,0.7873,0.872,false,false,,
RPM-2009-11-12:T57,2009-11-12,2009,Consejo del Banco Central de Chile,Consejo,CONSEJO,INSTITUCIONAL,13,0.0,0.0537,NEUTRAL,0.7148,0.8278,false,false,,
RPM-2009-11-12:T58,2009-11-12,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,29,0.0,-0.2958,NEUTRAL,0.2611,0.606,false,false,,
RPM-2009-11-12:T59,2009-11-12,2009,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,66,0.0,-0.0278,NEUTRAL,0.7626,0.851,false,false,,
RPM-2009-11-12:T60,2009-11-12,2009,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,503,0.0,-0.0197,NEUTRAL,0.951,0.9739,true,true,0.25,NEUTRAL
RPM-2009-11-12:T61,2009-11-12,2009,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,96,0.0,0.0679,NEUTRAL,0.8071,0.894,false,false,,
RPM-2009-11-12:T62,2009-11-12,2009,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,986,0.25,-0.061,NEUTRAL,0.7856,0.8774,true,false,,
RPM-2009-11-12:T63,2009-11-12,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,19,0.0,-0.5166,DOVISH,0.4119,0.6428,false,false,,
RPM-2009-11-12:T64,2009-11-12,2009,Beltrán de Ramón Acevedo,Gerente de División Operaciones Financieras,STAFF,INTERVENCION,963,0.0,-0.154,NEUTRAL,0.168,0.4966,true,false,,
RPM-2009-11-12:T65,2009-11-12,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,22,0.0,-0.4453,DOVISH,0.4453,0.6479,false,false,,
